"","V1"
"510392759134995","106.7296753-106.690557775-106.69424160194-106.70758258023-106.63438665959-106.67391541154-106.684227-106.61765917017"
"513180892180206","106.682-106.67917191982-106.7022018-106.6950871708-106.72180771764-106.68004735184-106.682-106.682-106.690557775"
"513601645466348","106.70080555556-106.72180771764-106.7607056-106.68441398812-106.6992957846-106.690557775-106.690557775"
"513677825474517","106.7737198-106.71578443662-106.6806717-106.72197311559-106.70636264325-106.7015-106.72180771764-106.69215903458-106.7607056"
"513903832121776","106.75694444444-106.7296753-106.7607056-106.690557775-106.690557775-106.64089067849-106.685997-106.69902420618-106.66317146073-106.696373-106.71979033289"
"515246135302389","106.68441398812-106.696373-106.63438665959-106.61765917017-106.70286708101"
"516495948528594","106.6988678-106.66667-106.75694444444-106.7607056-106.6992957846-106.79841756821-106.6930771-106.70167668533-106.7021118103"
"518267068336260","106.79328430398-106.70283202505-106.6992957846-106.72197311559-106.72180771764-106.71979033289-106.68441398812-106.6992957846-106.68441398812"
"519899301512791","106.7075272-106.6811295-106.70519849333-106.682-106.72197311559-106.75694444444-106.690557775-106.696373-106.6930771-106.713295-106.69111664667-106.70159954742-106.75155504417"
"520184324811726","106.6992957846-106.69495011742-106.63438665959-106.72993509444-106.6417389-106.71979033289-106.70286708101"
"523149284516658","106.70763201883-106.682-106.70304728673-106.65750606728-106.69424160194-106.65364089422-106.67391541154"
"523483477808212","106.6988678-106.70283202505-106.682-106.65482121754-106.6992957846-108.3780133-106.690557775-106.696373-106.71572151-106.713295-106.69424160194-106.69771298045-106.703611111-106.70059578034-106.6988678"
"527354960763420","106.68227894974-106.70763201883-106.682-106.682-106.72197311559-106.72180771764-106.7296753-106.7607056-106.6992957846"
"527814970726131","106.7022018-106.68439116-106.66667-106.6992957846-106.682-106.6286697-106.69358937319-106.7047577-106.6950871708-106.69324462937-106.70736002973-106.72180771764-106.7296753-106.7015-106.7607056-106.71979033289-106.68441398812-106.6992957846-106.690557775-106.65750606728-106.71903735585-106.72028048706-106.67423232269-106.70763201883-106.69050920894"
"529452507222509","106.72180771764-106.69495011742-106.69050920894-106.72638888889-106.61765917017-106.71979033289-106.70286708101"
