"","V1"
"587710671382257","10.766129429041-10.7899704-10.790258594234-10.780775419592-10.730852785315-10.767313098301-10.813112038302-10.803321980356-10.741962426559-10.803321980356-10.759583317746-10.8474672-10.8171473"
"588438194637783","10.7835903-10.766129429041-10.758093141193-10.8585741-10.741962426559-10.79258767-10.7768402-10.801144417231-10.773447283294-10.755595133788-10.7903776"
"594268804047130","10.836245967548-10.7829571025-10.8585741-10.77429999-10.7694"
"594932890644869","10.780833333333-10.741962426559-10.797913712459-10.779973522098-10.7677002-10.792438-10.773573760021-10.727359179346"
"595204997295165","10.766129429041-10.779788-10.767313098301-10.8171473-10.8171473-10.8171473-10.782853210143-10.767313098301-10.8171473"
"604517696354265","10.7694-10.730744814924-10.8171473-10.801144417231-10.773447283294-10.755595133788"
"617314225074105","10.779934425415-10.779934425415-10.780833333333-10.8585741-10.726910700135-10.741962426559-10.79258767-10.797913712459-10.773278596056-10.773741394188"
"625758314229025","10.7899704-10.730744814924-10.8554313-10.7694-10.79258767-10.8488503"
"626469317493279","10.77014849532-10.7807903-10.785720748033-10.7907801-10.780775419592-10.779492333935-10.803321980356-10.7694-10.7878103-10.760978525335-10.773278596056-10.755595133788-10.7750301-10.860573905-21.06324963-10.796220788824-10.804634796667"
"630907087049569","10.771507966836-10.806337345686-10.7829504-10.762200730909-10.729411608643-10.7699318-10.7677002"
"634638469972286","10.8585741-10.797913712459-10.793835984512-10.779973522098-10.8068469617-10.7709636-10.7701101-10.72790167305-10.726910700135"
"641011606001289","10.763370132014-10.794553763104-10.7694-10.729411608643-10.775833333333-10.779934425415-10.779492333935-10.772056035797-10.803321980356-10.79258767-10.7694-10.7856503-10.7856302-10.912801269844-10.81589517-10.776317583781-10.8068469617-10.774620909332-10.777537591563-10.774620909332-10.7829504-10.7694-10.726910700135"
"643772309097071","10.766129429041-10.7899704-10.730744814924-10.813112038302-10.803321980356-10.7768402"
"648356888637256","21.01124483185-10.7777824-10.730744814924-10.8585741-10.79258767-10.804150856204-10.7694-10.779973522098-10.72790167305"
"654391061369473","21.01124483185-10.763370132014-10.7899704-10.730744814924-10.780833333333-10.8171473-10.797913712459-21.06324963-10.804634796667"
"656073034532759","10.775833333333-10.8585741-10.726910700135-10.741962426559-10.79258767-10.79258767-10.797913712459-10.754866934655"
"657825667692595","10.7829571025-10.765942902456-10.7694-10.794553763104-10.729411608643-10.730852785315-10.775833333333-10.730744814924-10.780833333333-10.8171473-10.8585741-10.741962426559-10.7694-10.79258767-10.7768402"
"660661580702842","10.7777824-10.730852785315-10.8171473-10.795590790197-10.8585741-10.726910700135-10.7768402-10.773278596056"
"666390466796788","10.7940111-10.730852785315-10.780833333333-10.8171473-10.766129429041"
"695153200619282","10.77014849532-10.766129429041-10.779492333935-10.741962426559-10.79258767-10.797913712459-10.773447283294-10.789192-10.762162464812"
"698375650299059","10.7829571025-10.7844439-10.730744814924-10.81589517-10.808119400078"
"701059946694911","10.766129429041-10.7829504-10.780833333333-10.8171473-10.723758905799-10.7837296-10.8068469617-10.714489331958-10.801555428539-10.726910700135"
"711196992346902","10.779492333935-10.730744814924-10.779492333935-10.803321980356-10.797913712459-10.8066225-10.7841666667"
"713353622129100","10.7835903-10.779934425415-10.7929997-10.797913712459-21.024166666667-10.7837296"
"714714581993034","10.8066225-10.8585741-10.79258767-10.797913712459-10.726910700135"
"716852681749650","10.790258594234-10.767313098301-10.779788-10.8171473-10.78392654-10.779934425415-10.767313098301-10.813112038302-10.766129429041-10.790258594234-10.772821261302-10.790258594234-10.7713156-10.794493595506-10.772821261302-10.767313098301-10.7694"
"717903011675029","10.759035015164-10.75-10.767003764258-10.780833333333-10.766129429041-10.912801269844-10.773447283294-10.808119400078"
"719855601482008","10.78267-10.7890902-10.7899704-10.779492333935-10.787764669388-10.775833333333-10.8171473-10.799289589969-10.779492333935-10.741962426559-10.801144417231-10.779973522098-10.72910564-10.79423034573-10.808119400078"
"722984001166423","10.7940111-10.7907801-10.7841091-10.73012121984-10.7918901-10.803321980356-10.7929997-10.8474672-10.79258767-10.8171473-10.7677002-10.8171473"
"726783144121341","21.01124483185-10.766129429041-10.7899704-10.779492333935-10.7694-10.794553763104-10.787764669388-10.775833333333-10.730744814924-10.779934425415-10.780833333333-10.768005814299-10.726910700135-10.803321980356-10.779492333935-10.741962426559-10.8009071-10.8554313-10.7694-10.79258767-10.753842394284-10.78322577-10.7856302-10.773447283294-10.755595133788-10.8068469617-21.0333-10.77207330075-10.79423034573-10.7807903-10.727359179346-10.808119400078"
"728066947338277","10.7694-10.730744814924-10.726910700135-10.803321980356-10.797913712459-10.726910700135-10.808119400078"
