,userID,eventID,status,time_score,location_score
67,1.02449E+14,9.8229E+14,1,0,0
68,1.02449E+14,9.77637E+14,0,0,0
69,1.02536E+14,1.74339E+15,1,0,1.189809484
70,1.03807E+14,1.00666E+15,1,0,0.39886228
71,1.03807E+14,1.72259E+15,0,0,0.398663504
72,1.03849E+14,4.39108E+14,0,0,1.196583101
73,1.03849E+14,1.63839E+15,0,0,1.196736986
74,1.04721E+14,9.83628E+14,1,0,0
75,1.04721E+14,1.67217E+15,1,0,0
76,1.04773E+14,1.52172E+15,-1,0,0.398046726
77,1.04773E+14,1.67217E+15,1,0,0.398325983
78,1.04773E+14,1.64778E+15,1,0,0.398352203
79,1.05422E+14,5.87787E+14,0,0,0.790482364
80,1.05422E+14,8.74334E+14,0,0,0.796491799
81,1.05422E+14,8.43714E+14,0,0,0.78112631
82,1.05422E+14,9.8229E+14,0,0,0.794858739
83,1.05638E+14,5.87787E+14,0,0,0.793465658
84,1.05638E+14,1.51595E+15,0,0,0.797478342
85,1.0619E+14,4.06829E+14,0,0,0.397985728
86,1.06605E+14,5.08147E+14,1,0,0.398679016
87,1.0664E+14,8.74334E+14,1,0,0.398328565
88,1.06855E+14,4.06829E+14,0,0,0
89,1.06866E+14,1.16204E+15,0,0,0.398744519
90,1.0713E+14,8.90546E+14,0,0,0
91,1.07868E+14,1.50745E+15,1,0.153093109,0
92,1.07868E+14,8.83566E+14,1,0,0
93,1.07868E+14,8.90546E+14,1,0,0
94,1.08515E+14,5.3365E+14,0,0,0.398876341
95,1.08515E+14,1.71775E+15,0,0,0.398915966
96,1.08691E+14,9.83628E+14,0,0,0.796668635
97,1.08691E+14,9.8229E+14,0,0,0.796639568
98,1.0888E+14,8.74835E+14,0,0,0.398558988
99,1.09242E+14,4.06829E+14,1,0.040160966,0.396271549
100,1.09242E+14,9.05009E+14,1,0.439941345,0.395823393
101,1.09362E+14,8.02888E+14,1,0,0
102,1.09393E+14,4.24468E+14,1,0,0.398755383
103,1.09413E+14,5.87787E+14,0,0.845154255,0.792479758
104,1.09826E+14,8.30957E+14,0,0,0.398906687
105,1.09826E+14,1.01765E+15,0,0,0.398674071
106,1.09826E+14,9.83628E+14,0,0,0.398910202
107,1.10048E+14,1.57307E+14,0,0,0
108,1.10247E+14,5.45198E+14,1,0,0.790782981
109,1.10247E+14,7.95999E+14,1,0,0.797224103
110,1.10247E+14,9.83628E+14,1,0.365148372,0.796859892
111,1.10626E+14,5.87787E+14,1,0.267261242,0
112,1.10901E+14,1.00666E+15,0,0,0.795840373
113,1.10901E+14,1.49465E+15,0,0,0.794683171
114,1.11131E+14,5.05405E+14,1,0,0
115,1.11542E+14,4.80125E+14,0,0,0.797853528
116,1.11849E+14,4.82839E+14,0,0,0.398584733
117,1.11849E+14,5.87787E+14,0,0.21821789,0.397215741
118,1.11849E+14,5.08147E+14,0,0,0.398936916
119,1.11849E+14,5.11805E+14,0,0,0.398148885
