"","V1"
"152514838439215","10.729509080508-10.730852785315-10.730744814924-10.779934425415-10.813112038302-10.8171473-10.775833333333-10.803321980356-10.803321980356-10.803321980356-10.7694-10.766129429041-10.760978525335-10.7730503-10.773447283294-10.779148221547"
"154711438221800","10.7694-10.7899704-10.779492333935-10.730852785315-10.775833333333-10.730744814924-10.779934425415-10.780833333333-10.813112038302-10.8171473-10.775833333333-10.726910700135-10.803321980356-10.803321980356-10.7694"
"161080900912997","10.729263275524-10.803321980356-10.8554313-10.79258767-10.79258767"
"162599707427535","10.780833333333-10.8585741"
"165618250458056","10.7777824-10.780833333333-10.8585741-10.779492333935-10.803321980356"
"165626353791607","10.8171473-10.803321980356-10.803321980356-10.803321980356-10.7694"
"166359100384831","10.7899704-10.730744814924-10.8585741-10.803321980356-10.7694-10.79258767-10.8068469617"
"166933686991404","10.766129429041-10.7907801-10.75-10.795495589442-10.7694-10.769444444444"
"167105196975226","10.777537591563-10.730852785315-10.780833333333-10.8171473-10.803321980356-10.803321980356-10.803321980356-10.803321980356"
"167356060281700","10.730852785315-10.730744814924-10.8585741-10.741962426559-10.79258767"
"167757326909939","10.8585741-10.79258767-10.797913712459-10.787859-10.7841666667"
"167886650231984","21.01124483185-10.779492333935-10.79258767-10.729451347451-10.726910700135"
"167992070218241","10.75-10.8585741-10.79258767"
"169284466757838","10.759035015164-10.75-10.8171473-10.726910700135-10.803321980356"
"169831813367942","10.764627840446-10.766129429041-10.779492333935"
"170919729923576","10.78267-10.833641635469-10.7154715-10.8585741-10.741962426559-10.79258767-10.797913712459-10.787859-10.773447283294-10.7843752-10.77207330075-10.808119400078"
"171160366569555","10.78267-10.7771196-10.766129429041-10.785720748033-10.7899704-10.78392654-10.78722-10.7829504-10.777537591563-10.790258594234-10.779492333935-10.762200730909-10.729509080508-10.730852785315-10.806337345686-10.730744814924-10.803987196572-10.7907801-10.813112038302-10.8171473-10.7818051727-10.8585741-10.803321980356-10.803321980356-10.7850428-10.766129429041-10.790258594234-10.8050785-10.7730503"
"171534213198113","10.76096798517-10.7694-10.844890332328-10.7899704-10.779492333935-10.7940111-10.730852785315-10.730744814924-10.780833333333-10.8171473-10.726910700135-10.803321980356-10.779492333935-10.741962426559-10.79258767-10.797913712459-10.755595133788-10.8068469617-10.816938324444-10.74682256752-10.729649866797-10.760524296444-10.727359179346-10.726910700135-10.808119400078"
"171950143153804","10.730744814924-10.726910700135-10.803321980356-10.779492333935-10.79258767-10.79258767-10.773573760021-10.808119400078"
"172234749790478","10.7694-10.741962426559-10.803321980356-10.797913712459-10.773447283294"
