"","V1"
"143762049315634","106.70763201883-106.70713766289-106.70713766289-106.64913793909-106.70736002973-106.75694444444-106.84798991-106.7296753-106.7607056-106.70763201883-106.682-106.70713766289-106.70713766289-106.70758258023-106.70713766289-106.68070414717-106.67391541154-106.7045288-106.66977825687"
"144691249221157","106.63799089615-106.75694444444-106.84798991-106.7607056-106.6992957846-106.68441398812-106.682-106.6969528-106.63438665959-106.71979033289"
"146326905725298","106.6992957846-106.7607056-106.690557775-106.690557775-106.64089067849-106.696373"
"146514192374565","106.75694444444-106.68970151-106.682-106.70199855042-106.693573-106.7045288-106.70286708101"
"148379555518355","106.70481190705-106.70481190705-106.70481190705-106.70481190705-106.70481190705-106.70481190705-106.70481190705-106.70481190705"
"152514838439215","106.69324462937-106.72197311559-106.72180771764-106.70304728673-106.84798991-106.7296753-106.7015-106.68441398812-106.68441398812-106.68441398812-106.682-106.70763201883-106.66851385307-106.693573-106.69424160194-106.69565677643"
"154711438221800","106.682-106.7022018-106.6992957846-106.72197311559-106.7015-106.72180771764-106.70304728673-106.75694444444-106.84798991-106.7296753-106.7015-106.71979033289-106.68441398812-106.68441398812-106.682"
"161080900912997","106.69489410451-106.68441398812-106.6241884-106.690557775-106.690557775"
"162599707427535","106.75694444444-106.7607056"
"165618250458056","106.6811295-106.75694444444-106.7607056-106.6992957846-106.68441398812"
"165626353791607","106.7296753-106.68441398812-106.68441398812-106.68441398812-106.682"
"166359100384831","106.7022018-106.72180771764-106.7607056-106.68441398812-106.682-106.690557775-106.63438665959"
"166933686991404","106.70763201883-106.705658-106.66667-106.69599040222-106.682-106.68194444444"
"167105196975226","106.7034455236-106.72197311559-106.75694444444-106.7296753-106.68441398812-106.68441398812-106.68441398812-106.68441398812"
"167356060281700","106.72197311559-106.72180771764-106.7607056-106.69495011742-106.690557775"
"167757326909939","106.7607056-106.690557775-106.64089067849-106.696373-106.703611111"
"167886650231984","105.84945089507-106.6992957846-106.690557775-106.70329029588-106.71979033289"
"167992070218241","106.66667-106.7607056-106.690557775"
"169284466757838","106.66527454547-106.66667-106.7296753-106.71979033289-106.68441398812"
"169831813367942","106.79328430398-106.70763201883-106.6992957846"
"170919729923576","106.6953964-106.65038104754-106.6313525-106.7607056-106.69495011742-106.690557775-106.64089067849-106.696373-106.69424160194-106.6961517-106.67391541154-106.70286708101"
